pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_16_format,format,task_dendroclimatology,paleoclimatology,0.05729832270432947,0.021580269533254204,-0.035718053171075265,0.035718053171075265,False,161,203,42,23,26,3
pair_16_lexical,lexical,task_dendroclimatology,paleoclimatology,0.05729832270432947,0.9667726582746193,0.9094743355702899,0.9094743355702899,True,161,176,15,23,21,-2
pair_16_context,context,task_dendroclimatology,paleoclimatology,0.05729832270432947,-0.7359441710430894,-0.7932424937474188,0.7932424937474188,False,161,274,113,23,37,14
pair_17_persona,persona,task_hydrothermal_chemosynthesis,marine_ecology,0.07001626213943066,-0.40628325326143083,-0.47629951540086146,0.47629951540086146,False,226,216,-10,28,27,-1
pair_17_length,length,task_hydrothermal_chemosynthesis,marine_ecology,2.1093037013250386,-0.15425374581016998,-2.2635574471352085,2.2635574471352085,False,63,323,260,11,39,28
pair_17_format,format,task_hydrothermal_chemosynthesis,marine_ecology,0.9888794514101324,0.12659953025015566,-0.8622799211599768,0.8622799211599768,False,161,206,45,21,28,7
pair_17_lexical,lexical,task_hydrothermal_chemosynthesis,marine_ecology,0.9888794514101324,0.6600480401913899,-0.3288314112187426,0.3288314112187426,False,161,180,19,21,22,1
pair_17_context,context,task_hydrothermal_chemosynthesis,marine_ecology,0.9888794514101331,0.5510583914413585,-0.43782105996877463,0.43782105996877463,False,161,273,112,21,37,16
pair_18_persona,persona,task_dna_replication_structure,molecular_genetics,0.850754809893692,0.49880134556162353,-0.3519534643320685,0.3519534643320685,False,228,227,-1,31,32,1
pair_18_length,length,task_dna_replication_structure,molecular_genetics,2.1593696881408144,0.15260231037479777,-2.0067673777660167,2.0067673777660167,False,70,319,249,11,37,26
pair_18_format,format,task_dna_replication_structure,molecular_genetics,1.8005387279983303,-0.2590279602027716,-2.0595666882011017,2.0595666882011017,False,164,207,43,24,25,1
pair_18_lexical,lexical,task_dna_replication_structure,molecular_genetics,1.7998222862819548,1.0477314251273195,-0.7520908611546353,0.7520908611546353,False,164,175,11,24,24,0
pair_18_context,context,task_dna_replication_structure,molecular_genetics,1.7998222862819548,1.3730534938957228,-0.426768792386232,0.426768792386232,False,164,269,105,24,37,13
pair_19_persona,persona,task_entropy_thermodynamics,statistical_physics,1.0464498843945849,0.4428566314655355,-0.6035932529290493,0.6035932529290493,False,227,218,-9,30,29,-1
pair_19_length,length,task_entropy_thermodynamics,statistical_physics,1.876693775654029,0.212230766354025,-1.664463009300004,1.664463009300004,False,63,324,261,11,37,26
pair_19_format,format,task_entropy_thermodynamics,statistical_physics,1.9293434996223136,-0.03729309506170471,-1.9666365946840183,1.9666365946840183,False,159,199,40,24,31,7
pair_19_lexical,lexical,task_entropy_thermodynamics,statistical_physics,1.9293434996223136,1.18359400279833,-0.7457494968239835,0.7457494968239835,False,159,177,18,24,22,-2
